,Time (µs),Radius (nm)
721,7.21,7.6069274
722,7.22,7.704927
723,7.23,7.616004
724,7.24,7.706706
725,7.25,7.676182
726,7.26,7.6178193
727,7.27,7.6678696
728,7.28,7.7351465
729,7.29,7.86756
730,7.3,7.848695
731,7.31,7.7900214
732,7.32,7.638388
733,7.33,7.813202
734,7.34,7.6998777
735,7.35,7.727825
736,7.36,7.691662
737,7.37,7.7365966
738,7.38,7.786172
739,7.39,7.787786
740,7.4,7.768552
741,7.41,7.515937
742,7.42,7.663049
743,7.43,7.5911117
744,7.44,7.646388
745,7.45,7.6124687
746,7.46,7.8196425
747,7.47,7.743103
748,7.48,7.592823
749,7.49,7.733007
750,7.5,7.54981
751,7.51,7.908905
752,7.52,7.796322
753,7.53,7.6023893
754,7.54,7.585449
755,7.55,7.622378
756,7.56,7.7165136
757,7.57,7.7577653
758,7.58,7.8067803
759,7.59,7.882685
760,7.6,7.903502
761,7.61,7.851857
762,7.62,7.914205
763,7.63,7.772769
764,7.64,7.8082366
765,7.65,7.8019753
766,7.66,7.7479258
767,7.67,7.657313
768,7.68,7.7178574
769,7.69,7.8716493
770,7.7,7.814686
771,7.71,7.8234673
772,7.72,7.5947
773,7.73,7.6567283
774,7.74,7.6667733
775,7.75,7.7253084
776,7.76,7.67402
777,7.77,7.8274407
778,7.78,7.674343
779,7.79,7.7259636
780,7.8,7.7695
781,7.81,7.8037705
782,7.82,7.8114367
783,7.83,7.6368294
784,7.84,7.5544252
785,7.85,7.64357
786,7.86,7.7534547
787,7.87,7.6638594
788,7.88,7.684552
789,7.89,7.7550993
790,7.9,7.7542696
791,7.91,7.6825194
792,7.92,7.8232813
793,7.93,7.689663
794,7.94,7.516515
795,7.95,7.849742
796,7.96,7.8812194
797,7.97,7.762517
798,7.98,7.789422
799,7.99,7.797577
800,8.0,7.848057
801,8.01,7.7996798
802,8.02,7.764493
803,8.03,7.783313
804,8.04,7.7960176
805,8.05,7.8364396
806,8.06,7.9282846
807,8.07,7.775589
808,8.08,7.8576155
809,8.09,7.8392344
810,8.1,7.9405966
811,8.11,7.56119
812,8.12,7.693774
813,8.13,7.7430906
814,8.14,7.8209558
815,8.15,7.9003944
816,8.16,7.736154
817,8.17,7.8427796
818,8.18,7.797895
819,8.19,7.7180147
820,8.2,7.768953
821,8.21,7.6614633
822,8.22,7.6836953
823,8.23,7.6918893
824,8.24,7.6183596
825,8.25,7.7057686
826,8.26,7.6514893
