,POPC Outer,POPC Inner,POPE Outer,POPE Inner
633,2793,2523,2740,2590
634,2827,2489,2757,2573
635,2795,2521,2739,2591
636,2794,2522,2726,2604
637,2808,2508,2720,2610
638,2836,2480,2751,2579
639,2816,2500,2735,2595
640,2818,2498,2750,2580
641,2790,2526,2766,2564
642,2821,2495,2766,2564
643,2789,2527,2734,2596
644,2784,2532,2712,2618
645,2822,2494,2693,2637
646,2793,2523,2732,2598
647,2790,2526,2738,2592
648,2802,2514,2757,2573
649,2793,2523,2709,2621
650,2819,2497,2729,2601
651,2814,2502,2722,2608
652,2783,2533,2752,2578
653,2782,2534,2723,2607
654,2801,2515,2738,2592
655,2738,2578,2739,2591
656,2770,2546,2723,2607
657,2830,2486,2733,2597
658,2789,2527,2743,2587
659,2776,2540,2744,2586
660,2811,2505,2717,2613
661,2802,2514,2690,2640
662,2794,2522,2722,2608
663,2821,2495,2725,2605
664,2832,2484,2687,2643
665,2804,2512,2735,2595
666,2797,2519,2728,2602
667,2799,2517,2703,2627
668,2814,2502,2712,2618
669,2786,2530,2704,2626
670,2773,2543,2682,2648
671,2814,2502,2724,2606
672,2826,2490,2741,2589
673,2829,2487,2744,2586
674,2804,2512,2725,2605
675,2799,2517,2719,2611
676,2796,2520,2703,2627
677,2812,2504,2671,2659
678,2827,2489,2744,2586
679,2841,2475,2735,2595
680,2798,2518,2711,2619
681,2789,2527,2728,2602
682,2781,2535,2704,2626
683,2815,2501,2728,2602
684,2771,2545,2674,2656
685,2845,2471,2695,2635
686,2806,2510,2736,2594
687,2834,2482,2752,2578
688,2848,2468,2722,2608
689,2821,2495,2728,2602
690,2814,2502,2699,2631
691,2819,2497,2709,2621
692,2812,2504,2739,2591
693,2810,2506,2766,2564
694,2757,2559,2758,2572
695,2827,2489,2751,2579
696,2822,2494,2746,2584
697,2821,2495,2720,2610
698,2751,2565,2778,2552
699,2779,2537,2758,2572
700,2805,2511,2732,2598
701,2808,2508,2796,2534
702,2794,2522,2736,2594
703,2850,2466,2753,2577
704,2779,2537,2753,2577
705,2823,2493,2742,2588
706,2805,2511,2759,2571
707,2785,2531,2750,2580
708,2773,2543,2727,2603
709,2796,2520,2759,2571
710,2826,2490,2788,2542
711,2806,2510,2759,2571
712,2784,2532,2719,2611
713,2794,2522,2687,2643
714,2807,2509,2746,2584
715,2794,2522,2721,2609
716,2815,2501,2728,2602
717,2807,2509,2745,2585
718,2797,2519,2765,2565
719,2781,2535,2700,2630
720,2826,2490,2705,2625
721,2837,2479,2740,2590
722,2785,2531,2735,2595
723,2840,2476,2754,2576
724,2815,2501,2731,2599
725,2810,2506,2759,2571
726,2818,2498,2728,2602
727,2791,2525,2731,2599
728,2834,2482,2773,2557
729,2821,2495,2757,2573
730,2840,2476,2714,2616
731,2818,2498,2741,2589
732,2790,2526,2770,2560
733,2791,2525,2734,2596
734,2798,2518,2753,2577
735,2841,2475,2789,2541
736,2790,2526,2722,2608
737,2812,2504,2778,2552
738,2803,2513,2748,2582
739,2799,2517,2732,2598
740,2806,2510,2760,2570
741,2808,2508,2746,2584
742,2815,2501,2770,2560
743,2773,2543,2790,2540
744,2801,2515,2784,2546
745,2818,2498,2757,2573
746,2763,2553,2749,2581
747,2798,2518,2737,2593
748,2831,2485,2766,2564
749,2803,2513,2763,2567
750,2796,2520,2774,2556
751,2857,2459,2735,2595
752,2799,2517,2765,2565
753,2798,2518,2723,2607
754,2830,2486,2714,2616
755,2813,2503,2750,2580
756,2814,2502,2713,2617
757,2810,2506,2732,2598
758,2841,2475,2735,2595
759,2812,2504,2724,2606
760,2833,2483,2780,2550
761,2767,2549,2746,2584
762,2826,2490,2764,2566
763,2778,2538,2712,2618
764,2784,2532,2739,2591
765,2802,2514,2732,2598
766,2814,2502,2738,2592
767,2790,2526,2726,2604
768,2836,2480,2759,2571
769,2816,2500,2687,2643
770,2768,2548,2731,2599
771,2814,2502,2720,2610
772,2816,2500,2728,2602
773,2792,2524,2715,2615
774,2806,2510,2735,2595
775,2832,2484,2749,2581
776,2821,2495,2737,2593
777,2811,2505,2761,2569
778,2851,2465,2737,2593
779,2845,2471,2740,2590
780,2825,2491,2677,2653
781,2821,2495,2728,2602
782,2781,2535,2712,2618
783,2859,2457,2689,2641
784,2830,2486,2741,2589
785,2803,2513,2752,2578
786,2827,2489,2758,2572
787,2814,2502,2715,2615
788,2824,2492,2724,2606
789,2795,2521,2674,2656
790,2829,2487,2736,2594
791,2788,2528,2721,2609
792,2802,2514,2715,2615
793,2805,2511,2705,2625
794,2818,2498,2727,2603
795,2795,2521,2706,2624
796,2806,2510,2724,2606
797,2812,2504,2710,2620
798,2769,2547,2723,2607
799,2788,2528,2712,2618
800,2787,2529,2741,2589
801,2771,2545,2779,2551
802,2850,2466,2721,2609
803,2834,2482,2762,2568
804,2825,2491,2733,2597
805,2771,2545,2730,2600
806,2792,2524,2737,2593
